KLVR Charger Detection Monitor - Started 2025-08-26 14:10:19
Monitoring: http://10.110.73.155:8000
============================================================

#  1 14:10:19 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 13 14:10:28 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 14 14:10:29 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 15 14:10:29 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 16 14:10:30 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 17 14:10:31 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 18 14:10:32 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 19 14:10:32 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 20 14:10:33 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 21 14:10:34 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 22 14:10:35 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 23 14:10:35 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
    🚨 SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1622mV | Δ= -46mV | Cycle=2
    🚨🚨 AAA DETECTION FAILURE! 8 AAA batteries not detected!
    🔬 SLOT 30 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1590mV | Δ=-48mV | Cycle=3
    🔬 SLOT 31 DETAILS: Detected=KLVR-AA | AAA_ON=1542mV | AAA_OFF=1588mV | Δ=-46mV | Cycle=2
    🔬 SLOT 32 DETAILS: Detected=KLVR-AA | AAA_ON=1552mV | AAA_OFF=1602mV | Δ=-50mV | Cycle=1
    🔬 SLOT 33 DETAILS: Detected=KLVR-AA | AAA_ON=1548mV | AAA_OFF=1590mV | Δ=-42mV | Cycle=3
    🔬 SLOT 34 DETAILS: Detected=KLVR-AA | AAA_ON=1560mV | AAA_OFF=1604mV | Δ=-44mV | Cycle=3
    🔬 SLOT 35 DETAILS: Detected=KLVR-AA | AAA_ON=1556mV | AAA_OFF=1606mV | Δ=-50mV | Cycle=3
    🔬 SLOT 36 DETAILS: Detected=KLVR-AA | AAA_ON=1550mV | AAA_OFF=1596mV | Δ=-46mV | Cycle=2
    🔬 SLOT 37 DETAILS: Detected=KLVR-AA | AAA_ON=1576mV | AAA_OFF=1622mV | Δ=-46mV | Cycle=2
# 24 14:10:36 | [AAA TEST] Total:  8 | Detected AAA:  0 | Failed to detect:  8 | Retries: 0 | 🚨 DETECTION FAILED!
    🚨 SLOT 30: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1590mV | Δ= -48mV | Cycle=3
    🚨 SLOT 31: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1588mV | Δ= -46mV | Cycle=2
    🚨 SLOT 32: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1602mV | Δ= -50mV | Cycle=1
    🚨 SLOT 33: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1590mV | Δ= -42mV | Cycle=3
    🚨 SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1604mV | Δ= -44mV | Cycle=3
    🚨 SLOT 35: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1606mV | Δ= -50mV | Cycle=3
    🚨 SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1596mV | Δ= -46mV | Cycle=2
